housing_median_age,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_household,NEAR BAY,<1H OCEAN,INLAND,ISLAND,NEAR OCEAN
52,467,198,3.9643,188800,4.797979798,1.02020202,1,0,0,0,0
52,660,292,3.0125,184400,4.941780822,1.065068493,1,0,0,0,0
52,718,382,2.6768,182300,4.335078534,1.09947644,1,0,0,0,0
50,616,304,2.026,142500,3.700657895,1.059210526,1,0,0,0,0
43,558,253,1.7348,137500,3.980237154,1.233201581,1,0,0,0,0
40,423,160,0.9506,187500,3.9,1.21875,1,0,0,0,0
40,700,352,1.775,112500,2.6875,1.065340909,1,0,0,0,0
21,735,438,0.9218,171900,2.0456621,1.034246575,1,0,0,0,0
43,1061,407,1.5045,93800,4.58968059,1.12039312,1,0,0,0,0
41,1959,720,1.1108,97500,4.473611111,1.184722222,1,0,0,0,0
52,1162,400,1.2475,104200,4.075,1.14,1,0,0,0,0
52,701,233,1.6098,87500,5.021459227,1.008583691,1,0,0,0,0
52,576,220,1.4113,83100,4.295454545,1.104545455,1,0,0,0,0
52,622,259,1.5057,87500,4.77992278,1.111969112,1,0,0,0,0
52,728,244,0.8172,85300,6.102459016,1.37295082,1,0,0,0,0
52,1074,304,1.2171,80300,4.5625,1.121710526,1,0,0,0,0
2,94,57,2.5625,60000,2.771929825,0.754385965,1,0,0,0,0
52,554,187,3.3929,75700,5.994652406,1.128342246,1,0,0,0,0
49,86,23,6.1183,75000,5.869565217,1.260869565,1,0,0,0,0
50,377,122,0.9011,86100,6.229508197,1.557377049,1,0,0,0,0
52,521,159,1.191,76100,7.698113208,1.490566038,1,0,0,0,0
48,392,133,2.5938,73500,6.22556391,1.368421053,1,0,0,0,0
52,604,187,1.1667,78400,5.401069519,1.117647059,1,0,0,0,0
48,788,332,0.8056,84400,4.38253012,1.06626506,1,0,0,0,0
52,492,147,2.6094,81300,6.986394558,1.659863946,1,0,0,0,0
52,274,82,1.8516,85000,6.975609756,1.329268293,1,0,0,0,0
46,1823,611,0.9802,129200,4.584288052,1.05400982,1,0,0,0,0
26,392,127,1.7719,82500,6.047244094,1.196850394,1,0,0,0,0
46,582,277,0.7286,95200,3.375451264,1.072202166,1,0,0,0,0
49,560,152,1.75,75000,5.552631579,1.342105263,1,0,0,0,0
46,18,7,0.4999,67500,1.714285714,0.571428571,1,0,0,0,0
20,290,133,2.483,137500,6.278195489,1.210526316,1,0,0,0,0
17,762,439,0.9241,177500,2.817767654,1.0523918,1,0,0,0,0
36,1236,509,2.4464,102100,5.724950884,1.104125737,1,0,0,0,0
19,721,207,1.1111,108300,5.830917874,1.173913043,1,0,0,0,0
23,1054,325,0.8026,112500,5.369230769,1.150769231,1,0,0,0,0
38,344,155,2.0114,131300,4.412903226,1.135483871,1,0,0,0,0
17,609,289,1.5,162500,3.197231834,1,1,0,0,0,0
52,183,56,1.1667,112500,3.75,1,1,0,0,0,0
52,200,87,1.5208,112500,3.908045977,1.114942529,1,0,0,0,0
52,346,155,0.8075,137500,2.490322581,1.058064516,1,0,0,0,0
35,467,169,1.8088,118800,5.609467456,1.088757396,1,0,0,0,0
52,377,115,2.4083,98200,6.72173913,1.243478261,1,0,0,0,0
40,582,380,0.977,118800,2.315789474,1.186842105,1,0,0,0,0
10,546,330,0.76,162500,2.651515152,1.054545455,1,0,0,0,0
10,125,39,0.9722,137500,2.692307692,1.076923077,1,0,0,0,0
52,396,85,1.2434,500001,2.929411765,0.917647059,1,0,0,0,0
16,800,362,2.0938,162500,2.745856354,1.082872928,1,0,0,0,0
52,904,88,0.8668,137500,2.443181818,0.988636364,1,0,0,0,0
52,191,34,0.75,162500,2.823529412,0.911764706,1,0,0,0,0
27,718,302,2.6354,187500,3.493377483,1.149006623,1,0,0,0,0
39,1327,467,1.8477,179200,3.672376874,1.334047109,1,0,0,0,0
36,3469,2323,2.0096,130000,2.294016358,1.066293586,1,0,0,0,0
31,2048,1180,2.8345,183800,3.894915254,1.127966102,1,0,0,0,0
29,202,91,2.0062,125000,3.681318681,1.175824176,1,0,0,0,0
22,2024,1250,1.2185,170000,2.9456,1.016,1,0,0,0,0
37,1838,980,2.6104,193100,3.707142857,1.107142857,1,0,0,0,0
29,2304,1250,2.4912,257800,3.7248,1.1312,1,0,0,0,0
28,2563,1497,3.2177,273400,3.878423514,1.070808283,1,0,0,0,0
39,389,228,3.125,237500,3.745614035,1.061403509,1,0,0,0,0
52,895,613,2.5795,350000,3.515497553,1.143556281,1,0,0,0,0
34,2689,1789,2.8406,335700,3.281721632,1.069871437,1,0,0,0,0
52,674,244,4.9306,313400,6.18442623,0.922131148,1,0,0,0,0
52,709,456,3.2727,268500,4.442982456,1.057017544,1,0,0,0,0
52,686,422,3.1691,259400,4.165876777,1.090047393,1,0,0,0,0
52,1444,718,3.9,275700,4.848189415,1.045961003,1,0,0,0,0
28,1520,802,3.9063,225000,4.16084788,1.066084788,1,0,0,0,0
52,550,253,5.0917,262500,5.628458498,1.14229249,1,0,0,0,0
32,1806,1022,2.6429,218500,3.727005871,1.074363992,1,0,0,0,0
26,1749,1217,3.0233,255000,3.253081348,0.982744454,1,0,0,0,0
52,939,519,3.1484,224100,4.578034682,1.077071291,1,0,0,0,0
35,675,422,3.4722,243100,3.822274882,1.014218009,1,0,0,0,0
52,534,291,3.1429,231600,4.395189003,0.986254296,1,0,0,0,0
28,2558,1661,2.4234,218500,3.023479831,1.053582179,1,0,0,0,0
52,1786,1037,3.0897,234100,4.040501446,1.06557377,1,0,0,0,0
50,970,373,5.8596,327600,6.742627346,1.069705094,1,0,0,0,0
47,1098,485,5.2868,347600,6.546391753,0.936082474,1,0,0,0,0
41,794,376,5.956,366100,6.85106383,1.079787234,1,0,0,0,0
37,98,47,4.9643,335000,7.106382979,1.14893617,1,0,0,0,0
52,1061,403,6.3434,373600,6.947890819,1.019851117,1,0,0,0,0
52,1177,555,5.1773,389500,6.358558559,1.034234234,1,0,0,0,0
52,901,367,7.2354,391100,7.117166213,0.994550409,1,0,0,0,0
28,2031,956,5.457,337300,5.530334728,1.09623431,1,0,0,0,0
50,1031,479,7.5,295200,6.127348643,0.987473904,1,0,0,0,0
44,1358,597,6.0194,292300,5.735343384,1,1,0,0,0,0
40,1616,654,7.5544,411500,7.631498471,1.03058104,1,0,0,0,0
30,844,343,6.0666,311500,6.44606414,1.008746356,1,0,0,0,0
34,1140,496,7.0548,325900,6.125,0.987903226,1,0,0,0,0
18,533,194,11.6017,392600,8.335051546,1.082474227,1,0,0,0,0
35,1072,443,7.4882,319300,6.467268623,1.038374718,1,0,0,0,0
34,1627,766,6.8976,333300,6.61227154,1.028720627,1,0,0,0,0
28,463,190,8.2049,335200,6.978947368,0.968421053,1,0,0,0,0
26,542,211,8.401,351200,7.530805687,1.056872038,1,0,0,0,0
29,661,269,6.8538,368900,6.657992565,1.007434944,1,0,0,0,0
32,635,263,8.317,365900,6.977186312,1.003802281,1,0,0,0,0
37,420,176,7.0175,366700,6.982954545,1.028409091,1,0,0,0,0
39,1265,500,6.3302,362800,7.54,1.068,1,0,0,0,0
30,126,52,6.3624,483300,5.615384615,0.730769231,1,0,0,0,0
52,813,350,7.0549,331400,6.785714286,0.951428571,1,0,0,0,0
45,1067,426,6.7851,323500,6.957746479,1.023474178,1,0,0,0,0
50,1260,552,2.8929,216700,5.132246377,1.096014493,1,0,0,0,0
38,951,487,3.0812,233100,4.628336756,1.098562628,1,0,0,0,0
52,510,224,5.2402,296400,6.200892857,0.946428571,1,0,0,0,0
52,765,308,6.5217,273700,6.399350649,1.087662338,1,0,0,0,0
52,1129,460,3.2632,227700,4.745652174,1.010869565,1,0,0,0,0
52,1073,441,3.0298,199600,5.183673469,1.052154195,1,0,0,0,0
52,1185,515,4.5428,239800,5.283495146,1.050485437,1,0,0,0,0
52,756,340,4.072,270100,5.952941176,0.997058824,1,0,0,0,0
52,1034,521,5.3509,302100,5.650671785,1.028790787,1,0,0,0,0
52,787,459,3.1603,269500,4.4291939,1.058823529,1,0,0,0,0
52,612,213,4.7708,314700,6.727699531,1.075117371,1,0,0,0,0
52,1021,380,8.1564,390100,7.702631579,1.057894737,1,0,0,0,0
52,861,258,8.8793,410300,8.972868217,1.131782946,1,0,0,0,0
52,953,327,6.8591,352400,7.599388379,0.957186544,1,0,0,0,0
52,634,256,6.0302,287300,5.8203125,0.9296875,1,0,0,0,0
52,878,352,7.508,348700,7.994318182,1.036931818,1,0,0,0,0
52,918,483,2.7477,243800,4.333333333,1.138716356,1,0,0,0,0
52,360,175,2.1944,211500,5.074285714,0.96,1,0,0,0,0
52,1197,488,3.0149,218400,4.276639344,1.045081967,1,0,0,0,0
52,1048,518,3.675,269900,4.851351351,0.969111969,1,0,0,0,0
46,1373,747,3.225,218800,4.326639893,1.117804552,1,0,0,0,0
42,1715,1015,2.9345,225000,4.0591133,1.049261084,1,0,0,0,0
43,1359,722,2.1429,250000,3.274238227,1.096952909,1,0,0,0,0
41,1062,413,1.6121,171400,3.561743341,1.13559322,1,0,0,0,0
29,1335,773,1.3929,193800,3.192755498,1.117723157,1,0,0,0,0
27,1171,429,2.3173,125000,3.804195804,1.146853147,1,0,0,0,0
45,1475,460,1.7772,97500,3.882608696,1.143478261,1,0,0,0,0
50,742,196,2.6458,125000,3.209183673,0.959183673,1,0,0,0,0
52,1086,363,2.181,138800,3.688705234,1.077134986,1,0,0,0,0
36,1645,543,2.2303,116700,3.090239411,1.116022099,1,0,0,0,0
43,1710,644,1.6504,151800,3.639751553,1.004658385,1,0,0,0,0
52,731,228,2.2697,127000,4.368421053,1,1,0,0,0,0
52,1118,347,2.1563,128600,4.585014409,1.074927954,1,0,0,0,0
52,1006,335,2.1348,140600,4.734328358,1.188059701,1,0,0,0,0
47,1213,554,2.6292,182700,3.693140794,1.061371841,1,0,0,0,0
52,772,257,2.3833,146900,4.638132296,1.124513619,1,0,0,0,0
52,1321,401,2.957,122800,4.496259352,1.047381546,1,0,0,0,0
49,1487,677,2.5238,169300,4.192023634,1.106351551,1,0,0,0,0
52,488,186,1.9375,126600,4.209677419,0.989247312,1,0,0,0,0
51,949,392,1.9028,127900,4.056122449,1.056122449,1,0,0,0,0
50,1149,415,2.25,123500,4.207228916,1.156626506,1,0,0,0,0
52,844,280,2.3929,111900,4.471428571,1.067857143,1,0,0,0,0
43,4367,1231,2.1917,112800,4.844029245,1.091795288,1,0,0,0,0
52,1659,412,2.9357,107900,4.327669903,0.958737864,1,0,0,0,0
30,1011,263,1.8854,137500,3.798479087,1.003802281,1,0,0,0,0
39,1464,389,2.1638,105500,3.776349614,1.107969152,1,0,0,0,0
47,1237,303,2.125,95500,4.528052805,1.303630363,1,0,0,0,0
52,647,168,3.375,116100,4.011904762,1.071428571,1,0,0,0,0
43,1284,357,2.2542,112200,4.554621849,1.053221289,1,0,0,0,0
51,228,55,2.1,75000,3.181818182,0.781818182,1,0,0,0,0
39,381,123,1.6,112500,3.74796748,1.048780488,1,0,0,0,0
52,846,227,3.625,125000,3.973568282,1.044052863,1,0,0,0,0
20,1659,676,1.6929,115000,3.51035503,1.152366864,1,0,0,0,0
52,520,138,1.6471,95000,2.833333333,0.927536232,1,0,0,0,0
52,866,259,2.59,96400,4.38996139,1.162162162,1,0,0,0,0
52,612,183,2.57,72000,4.202185792,1.12568306,1,0,0,0,0
52,415,126,2.6429,71300,3.746031746,1.158730159,1,0,0,0,0
52,994,213,3.0257,80800,4.046948357,1.009389671,1,0,0,0,0
50,1525,477,1.4886,128800,4.025157233,1.111111111,1,0,0,0,0
43,1506,438,1.9338,112500,3.242009132,1.077625571,1,0,0,0,0
52,1008,255,1.4844,119400,3.866666667,1.011764706,1,0,0,0,0
44,2813,751,1.6009,118100,3.115845539,1.098535286,1,0,0,0,0
48,1481,343,2.0375,122500,4.944606414,1.15451895,1,0,0,0,0
49,859,219,2.293,106300,5.365296804,0.99086758,1,0,0,0,0
37,1608,523,2.1494,132500,4.479923518,1.09751434,1,0,0,0,0
30,425,140,1.6198,122700,4.357142857,1.035714286,1,0,0,0,0
40,564,184,1.3281,113300,5.054347826,1.081521739,1,0,0,0,0
44,961,272,3.5156,109500,5.466911765,1.154411765,1,0,0,0,0
52,2273,685,3.9048,164700,4.998540146,1.00729927,1,0,0,0,0
52,600,195,3.0893,125000,3.907692308,0.974358974,1,0,0,0,0
46,1647,527,2.6042,124700,4.489563567,1.091081594,1,0,0,0,0
49,1201,424,2.5,136700,4.306603774,1.061320755,1,0,0,0,0
38,2167,659,2.7969,141700,4.626707132,1.078907436,1,0,0,0,0
29,939,340,2.8321,150000,4.823529412,1.105882353,1,0,0,0,0
47,859,292,2.9583,138800,5.284246575,1.051369863,1,0,0,0,0
34,1517,516,2.8365,139200,4.581395349,1.079457364,1,0,0,0,0
35,1143,386,2.875,143800,4.520725389,1.059585492,1,0,0,0,0
39,1109,464,3.0682,156500,4.316810345,1.077586207,1,0,0,0,0
39,1221,446,3.0757,151000,4.524663677,1.002242152,1,0,0,0,0
43,1115,455,4.9559,273000,6.692307692,1.096703297,1,0,0,0,0
52,706,268,4.7721,217100,5.77238806,1.093283582,1,0,0,0,0
52,1883,706,3.4861,187100,4.984419263,1.007082153,1,0,0,0,0
41,804,340,5.1184,239600,6.088235294,1.041176471,1,0,0,0,0
48,506,252,4.0977,229700,5.242063492,1.043650794,1,0,0,0,0
48,610,238,4.744,257300,7.117647059,1.088235294,1,0,0,0,0
46,768,332,4.2727,246900,5.837349398,1.027108434,1,0,0,0,0
50,462,184,2.9844,179900,5.260869565,1.059782609,1,0,0,0,0
40,667,235,4.1739,169600,4.510638298,1.089361702,1,0,0,0,0
46,1059,399,3.8487,203300,5.115288221,1.015037594,1,0,0,0,0
52,637,277,4.0114,263400,6.545126354,0.97833935,1,0,0,0,0
45,1106,454,4.6563,231800,5.986784141,0.99339207,1,0,0,0,0
28,1737,669,2.9297,140500,4.69955157,1.137518685,1,0,0,0,0
35,1009,390,2.3036,126000,4.620512821,1.176923077,1,0,0,0,0
49,737,210,2.6667,122000,4.2,0.928571429,1,0,0,0,0
44,1354,491,2.619,134700,3.301425662,0.920570265,1,0,0,0,0
45,1530,474,2.4167,139400,4.462025316,1.124472574,1,0,0,0,0
45,1410,480,2.7788,115400,4.210416667,1.1,1,0,0,0,0
46,1390,569,2.7352,137300,3.934973638,0.892794376,1,0,0,0,0
52,1065,269,1.8472,137000,5.49070632,1.115241636,1,0,0,0,0
52,792,245,2.6583,142600,4.310204082,0.914285714,1,0,0,0,0
49,779,245,3.0536,137500,3.665306122,0.995918367,1,0,0,0,0
44,2269,610,2.3906,111700,4.86557377,1.163934426,1,0,0,0,0
43,1227,407,1.7188,126800,4.181818182,1.13022113,1,0,0,0,0
47,753,241,2.625,111300,3.65560166,1.029045643,1,0,0,0,0
40,547,135,2.8015,114800,3.659259259,0.844444444,1,0,0,0,0
50,1807,440,1.7276,102300,4.036363636,1.075,1,0,0,0,0
44,1700,495,2.0801,131900,3.38989899,1.038383838,1,0,0,0,0
51,1543,393,2.489,119100,4.165394402,1.178117048,1,0,0,0,0
52,1085,300,1.7546,80600,4.733333333,1.046666667,1,0,0,0,0
52,353,137,4.0904,80600,4.313868613,1.262773723,1,0,0,0,0
52,473,149,2.6765,88800,5,1.026845638,1,0,0,0,0
49,1621,483,2.4338,102400,4.703933747,1.031055901,1,0,0,0,0
46,1183,354,2.3309,98700,3.485875706,1.059322034,1,0,0,0,0
43,836,277,2.2604,100000,3.671480144,1.184115523,1,0,0,0,0
42,900,263,1.8039,92300,3.543726236,0.965779468,1,0,0,0,0
39,1888,537,2.2562,94800,5.00744879,1.111731844,1,0,0,0,0
41,1024,341,2.0562,102000,4.536656891,1.217008798,1,0,0,0,0
52,1225,423,3.5398,158400,5.437352246,1.047281324,1,0,0,0,0
39,1071,376,3.1167,121600,4.659574468,1.061170213,1,0,0,0,0
50,1128,378,2.5401,129100,4.939153439,1.066137566,1,0,0,0,0
43,1537,484,2.898,121400,5.020661157,1.037190083,1,0,0,0,0
44,1240,393,2.3125,102800,4.399491094,1.053435115,1,0,0,0,0
52,469,168,2.875,160000,6.107142857,1.071428571,1,0,0,0,0
52,1086,425,3.3715,143900,5.105882353,1.007058824,1,0,0,0,0
52,1144,417,3.5114,151200,5.585131894,1.067146283,1,0,0,0,0
52,1109,375,4.3125,164400,6.645333333,1.106666667,1,0,0,0,0
52,984,369,3.22,156500,5.956639566,1.075880759,1,0,0,0,0
33,575,47,3.875,225000,3.021276596,0.659574468,1,0,0,0,0
49,496,209,5.2328,174200,5.660287081,0.980861244,1,0,0,0,0
52,555,190,3.7262,166900,5.631578947,1.015789474,1,0,0,0,0
45,869,327,4.5893,163500,5.400611621,1.01529052,1,0,0,0,0
39,236,106,5.2578,253000,5.820754717,0.896226415,1,0,0,0,0
41,626,214,7.0875,240700,6.593457944,1.088785047,1,0,0,0,0
46,922,329,3.9712,208100,6.410334347,1.176291793,1,0,0,0,0
47,582,256,2.9514,198100,4.80078125,0.94921875,1,0,0,0,0
50,546,201,2.6667,172800,4.746268657,1.07960199,1,0,0,0,0
37,620,266,5.4446,336700,6.176691729,0.984962406,1,0,0,0,0
34,442,195,6.2838,318200,6.948717949,1,1,0,0,0,0
23,955,328,6.7527,285800,7.06402439,1.024390244,1,0,0,0,0
24,916,324,7.0712,293000,7.589506173,0.978395062,1,0,0,0,0
22,4985,1967,5.9849,371000,6.528723945,1.041179461,1,0,0,0,0
42,651,267,3.6875,157300,5.707865169,0.973782772,1,0,0,0,0
30,1704,703,2.875,135300,4.731152205,1.06116643,1,0,0,0,0
43,1085,407,3.4205,136700,4.877149877,1.081081081,1,0,0,0,0
50,713,284,3.2984,160700,5.781690141,1.133802817,1,0,0,0,0
49,468,181,3.875,140600,4.933701657,0.977900552,1,0,0,0,0
52,296,121,4.175,144000,5.396694215,1.05785124,1,0,0,0,0
47,570,218,4.375,161900,5.76146789,1.995412844,1,0,0,0,0
48,446,180,4.7708,156300,5.427777778,1.077777778,1,0,0,0,0
45,968,384,3.5739,176000,6.052083333,1.033854167,1,0,0,0,0
39,857,316,3.0958,145800,5.009493671,1.10443038,1,0,0,0,0
39,912,322,3.3958,141900,5.00621118,1.062111801,1,0,0,0,0
31,1360,452,1.871,90700,5.362831858,1.17920354,1,0,0,0,0
41,1074,355,1.9356,90600,4.490140845,1.033802817,1,0,0,0,0
47,965,382,2.1842,107900,5.544502618,1.081151832,1,0,0,0,0
37,933,320,2.2917,107000,4.921875,1.11875,1,0,0,0,0
38,987,354,2.4333,98200,4.983050847,1.121468927,1,0,0,0,0
50,907,246,1.9479,89500,4.825203252,1.06097561,1,0,0,0,0
52,447,165,3.9063,93800,4.56969697,1.060606061,1,0,0,0,0
49,1299,451,1.8407,96700,5.11751663,1.002217295,1,0,0,0,0
27,396,157,2.0786,97500,5.789808917,1.503184713,1,0,0,0,0
42,877,268,2.8125,97300,4.402985075,0.958955224,1,0,0,0,0
43,1111,367,1.8913,91200,5.498637602,1.111716621,1,0,0,0,0
49,790,269,1.7056,91400,5.085501859,1.048327138,1,0,0,0,0
52,1479,554,2.2768,96200,4.953068592,0.987364621,1,0,0,0,0
51,1173,438,3.2552,120100,4.810502283,1.075342466,1,0,0,0,0
52,1029,366,2.0556,100000,4.775956284,0.989071038,1,0,0,0,0
52,1030,350,2.4659,94700,5.782857143,1.117142857,1,0,0,0,0
47,826,279,1.75,85700,4,0.928315412,1,0,0,0,0
41,1412,454,2.0469,89300,4.484581498,1.123348018,1,0,0,0,0
45,1132,349,2.7159,101400,5.306590258,1.126074499,1,0,0,0,0
41,522,159,1.2083,72500,5.79245283,1.301886792,1,0,0,0,0
45,630,237,1.925,74100,4.198312236,1.004219409,1,0,0,0,0
36,531,133,1.5809,70000,4.556390977,0.992481203,1,0,0,0,0
37,1925,667,1.4097,84600,4.017991004,1.103448276,1,0,0,0,0
38,1144,351,0.7683,81800,4.253561254,1.054131054,1,0,0,0,0
19,1481,520,1.3194,81400,4.244230769,1.086538462,1,0,0,0,0
28,435,162,0.8012,81800,5.283950617,1.166666667,1,0,0,0,0
26,984,303,1.9479,85800,4.267326733,0.98019802,1,0,0,0,0
36,567,159,1.1765,87100,5.327044025,1.333333333,1,0,0,0,0
42,380,123,2.3456,83500,4.398373984,1.25203252,1,0,0,0,0
44,825,244,2.1538,79700,4.368852459,1.036885246,1,0,0,0,0
43,417,155,2.5139,83400,4.561290323,0.948387097,1,0,0,0,0
45,801,287,1.2625,84700,5.324041812,1.013937282,1,0,0,0,0
42,646,198,2.9063,80000,4.590909091,1.085858586,1,0,0,0,0
43,855,285,2.5192,76400,4.880701754,1.028070175,1,0,0,0,0
44,435,136,2.1111,79700,4.029411765,0.875,1,0,0,0,0
42,2736,780,2.455,82400,5.223076923,1.120512821,1,0,0,0,0
41,1481,414,2.4028,97700,3.896135266,1.074879227,1,0,0,0,0
47,327,137,2.15,97200,3.379562044,0.97810219,1,0,0,0,0
43,494,179,2.4776,101600,4.569832402,1.078212291,1,0,0,0,0
43,1231,341,2.1587,86500,4.319648094,1.08797654,1,0,0,0,0
35,323,109,1.8438,90500,4.623853211,1.155963303,1,0,0,0,0
46,749,225,3.0298,107600,4.56,1.004444444,1,0,0,0,0
46,693,178,2.25,84200,4.320224719,1.028089888,1,0,0,0,0
46,1339,354,2.2467,88900,5.940677966,1.104519774,1,0,0,0,0
45,282,80,4.0469,80700,4.125,0.95,1,0,0,0,0
46,621,195,1.325,87100,4.825641026,1.117948718,1,0,0,0,0
38,732,259,1.6196,85100,3.83011583,1.67953668,1,0,0,0,0
45,901,260,2.1731,82000,3.807692308,1.003846154,1,0,0,0,0
36,482,150,1.9167,82800,7.506666667,1.753333333,1,0,0,0,0
43,652,213,2.069,84600,4.863849765,1.093896714,1,0,0,0,0
36,651,166,1.712,82100,6.307228916,1.289156627,1,0,0,0,0
33,999,286,2.5625,89300,4.475524476,1.073426573,1,0,0,0,0
43,907,306,1.9821,98300,5.18627451,1.045751634,1,0,0,0,0
41,828,230,2.5043,92300,5.465217391,1.17826087,1,0,0,0,0
44,763,254,2.3281,88800,4.795275591,0.976377953,1,0,0,0,0
48,935,349,1.4375,90000,5.017191977,1.11747851,1,0,0,0,0
45,1437,484,2.5122,95500,4.75,1.061983471,1,0,0,0,0
38,1516,482,1.5625,91700,5.097510373,1.294605809,1,0,0,0,0
47,597,185,3.1587,100400,5.394594595,1.140540541,1,0,0,0,0
40,949,342,1.8426,94800,4.926900585,1.002923977,1,0,0,0,0
46,881,302,4.6696,164300,6.049668874,1.016556291,1,0,0,0,0
36,1438,519,2.4598,155500,5.358381503,1.105973025,1,0,0,0,0
39,763,270,6.0749,196900,6.751851852,1.059259259,1,0,0,0,0
27,1297,355,4.8304,279100,6.278873239,1.028169014,1,0,0,0,0
34,545,211,5.5701,252800,7.170616114,1.09478673,1,0,0,0,0
26,1222,533,5.37,275400,6.127579737,0.92120075,1,0,0,0,0
33,808,219,6.86,250000,8.260273973,1.191780822,1,0,0,0,0
28,329,109,7.6923,329800,7.28440367,1.018348624,1,0,0,0,0
36,299,109,4.0313,195500,6.330275229,0.963302752,1,0,0,0,0
33,579,202,6.8323,255900,6.603960396,0.99009901,1,0,0,0,0
30,137,50,4.975,311100,8.28,1.08,1,0,0,0,0
36,229,93,5.3602,330000,8.258064516,1,1,0,0,0,0
41,1476,648,5,248900,6.790123457,1.027777778,1,0,0,0,0
46,429,154,2.925,142900,6.194805195,1.045454545,1,0,0,0,0
40,849,255,3.8913,126300,5.666666667,1.003921569,1,0,0,0,0
44,946,331,3.225,135800,5.854984894,1.205438066,1,0,0,0,0
41,571,191,3.1458,130600,4.481675393,0.931937173,1,0,0,0,0
24,1137,386,2.537,107900,4.637305699,1.176165803,1,0,0,0,0
44,378,135,2.5568,111100,4.57037037,0.97037037,1,0,0,0,0
43,853,272,3.5083,122000,5.084558824,1.011029412,1,0,0,0,0
49,764,282,3.3125,118000,4.69858156,0.982269504,1,0,0,0,0
40,928,261,1.8235,95200,4.701149425,1.126436782,1,0,0,0,0
35,406,133,3.8047,94300,5.015037594,1.052631579,1,0,0,0,0
34,824,280,2.2917,92500,4.367857143,1.003571429,1,0,0,0,0
37,835,259,2.4962,91800,5.324324324,1.108108108,1,0,0,0,0
43,826,295,4.0417,109400,5.2,1.016949153,1,0,0,0,0
46,567,211,3.4844,129500,4.876777251,0.857819905,1,0,0,0,0
52,355,144,4.1458,143400,5.354166667,1.020833333,1,0,0,0,0
47,533,166,2.625,98200,4.963855422,1.343373494,1,0,0,0,0
